date,equity
2025-02-01,5220.745802730619
2025-02-02,5362.414836767701
2025-02-03,5170.314430891585
2025-02-04,4998.997976497471
2025-02-05,4938.086267414706
2025-02-06,4937.012464464442
2025-02-07,4933.899382824859
2025-02-08,4931.6385257489765
2025-02-09,4932.49378044446
2025-02-10,4977.9438633428435
2025-02-11,4896.003039692652
2025-02-12,4999.6786198490145
2025-02-13,4938.494577672337
2025-02-14,4981.406167670309
2025-02-15,4984.866956931882
2025-02-16,4916.734065046019
2025-02-17,4897.261301915149
2025-02-18,4885.924442619082
2025-02-19,4925.011574907143
2025-02-20,5007.314901226912
2025-02-21,4886.333879175884
2025-02-22,4864.453965787132
2025-02-23,4879.15485744102
2025-02-24,5114.096962169374
2025-02-25,5243.863676864621
2025-02-26,5456.229587768481
2025-02-27,5438.946561664779
2025-02-28,5454.9723517591
2025-03-01,5374.707320420579
2025-03-02,4977.160675799465
2025-03-03,5373.073972015127
2025-03-04,5317.116385530254
2025-03-05,5152.543587098454
2025-03-06,5184.566061101669
2025-03-07,5340.317795337765
2025-03-08,5368.771548605995
2025-03-09,5637.476450424512
2025-03-10,5737.585474181694
2025-03-11,5528.071213444631
2025-03-12,5472.566994464441
2025-03-13,5307.504954857714
2025-03-14,5472.269393775913
2025-03-15,5495.446240936546
2025-03-16,5386.168953375633
2025-03-17,5478.874405490502
2025-03-18,5394.771009239065
2025-03-19,5651.057373410214
2025-03-20,5484.545042609389
2025-03-21,5476.863805648042
2025-03-22,5463.8033789805595
2025-03-23,5585.525686953488
2025-03-24,5674.680770036719
2025-03-25,5673.001346159191
2025-03-26,5637.771054568143
2025-03-27,5654.818918654821
2025-03-28,5464.921606879073
2025-03-29,5573.17939662932
2025-03-30,5573.830235549394
2025-03-31,5587.631004066237
2025-04-01,5739.891741600083
2025-04-02,5552.075215033761
2025-04-03,5512.53814495609
2025-04-04,5449.230631082689
2025-04-05,5428.279878004247
2025-04-06,5101.337468984416
2025-04-07,5164.426307138194
2025-04-08,4981.288635107153
2025-04-09,5370.753541318833
2025-04-10,5188.578117827542
2025-04-11,5406.658997812729
2025-04-12,5522.682556045439
2025-04-13,5423.926899208184
2025-04-14,5476.778003850101
2025-04-15,5407.49019082734
2025-04-16,5369.626224260112
2025-04-17,5421.993941877019
2025-04-18,5379.5868383287625
2025-04-19,5342.442811002749
2025-04-20,5335.719237101846
2025-04-21,5193.560223446345
2025-04-22,4834.434975850274
2025-04-23,4818.839164443107
2025-04-24,4804.00315383466
2025-04-25,4756.909715052076
2025-04-26,4761.370465751301
2025-04-27,4815.459850915627
2025-04-28,4741.251376397133
2025-04-29,4783.32795092831
2025-04-30,4788.025547263047
2025-05-01,4649.478903240369
2025-05-02,4624.150630978758
2025-05-03,4685.891077552651
2025-05-04,4781.436975374386
2025-05-05,4755.239005939176
2025-05-06,4630.67430716329
2025-05-07,4616.738309969787
2025-05-08,4240.262698498679
2025-05-09,4256.67041674438
2025-05-10,4152.050488934926
2025-05-11,4187.821758957513
2025-05-12,4266.24419102303
2025-05-13,4183.974438454263
2025-05-14,4222.197060804396
2025-05-15,4209.753664805888
2025-05-16,4225.236263999281
2025-05-17,4243.317059814237
2025-05-18,4045.963065567841
2025-05-19,4096.883929820293
2025-05-20,4025.040122126746
2025-05-21,3849.994618289188
2025-05-22,3729.0204993476573
2025-05-23,3994.9233048063625
2025-05-24,3964.403376214337
2025-05-25,3888.9623570086405
2025-05-26,3864.407622592611
2025-05-27,3891.433130678298
2025-05-28,3963.7259976967744
2025-05-29,4094.7267397720534
2025-05-30,4178.931116684708
2025-05-31,4154.471224974327
2025-06-01,4103.767870469029
2025-06-02,4095.285553806867
2025-06-03,4111.887983804519
2025-06-04,4137.785810499881
